"Title","Created","File","ProjectID"
"Newport Vaporizer Replacement H-1","1/12/2017 4:01:05 PM","/StageGateDocs/Change Order Newport WBS Transfer.docx","68"
"Portland LNG H-6 Replacement","1/12/2017 10:45:34 PM","/StageGateDocs/WBS Transfer for 201530.docx","70"
"Eagle Wireless","1/27/2017 9:20:36 PM","/StageGateDocs/Eagle CO 2.docx","75"
"Eagle Wireless","1/27/2017 9:30:23 PM","/StageGateDocs/Eagle CO 2.pdf","75"
"Camas Gate Station","1/27/2017 10:05:10 PM","/StageGateDocs/201419-Change Order to Move Material Funds.docx","80"
"Camas Gate Station","1/27/2017 10:15:02 PM","/StageGateDocs/201419-Change Order to Move Material Funds.pdf","80"
"Newport LNG CO2 Remediation","1/31/2017 1:45:32 AM","/StageGateDocs/Change Order 2 - 2016 Budget True-up.docx","81"
"Newport LNG CO2 Remediation","1/31/2017 2:00:03 AM","/StageGateDocs/Change Order 2 - 2016 Budget True-up.pdf","81"
"Eugene Retrofit","2/2/2017 2:35:23 AM","/StageGateDocs/EUG PCR01-Addl Design v1.docx","86"
"Mist Control Building","2/2/2017 2:35:43 AM","/StageGateDocs/MCB PCR01-Addl Design v1.docx","85"
"Eugene Retrofit","2/2/2017 2:45:02 AM","/StageGateDocs/EUG PCR01-Addl Design v1.pdf","86"
"Mist Control Building","2/2/2017 2:45:03 AM","/StageGateDocs/MCB PCR01-Addl Design v1.pdf","85"
"Newport LNG CO2 Remediation","2/3/2017 12:45:55 AM","/StageGateDocs/Change Order 3 - Glycol System and Mole Sieve Change.docx","82"
"Sherwood Microwave Tower","2/3/2017 9:00:03 PM","/StageGateDocs/PCR11 Move Budget.pdf","79"
"Newport ICS Network Segmentation","2/4/2017 12:45:13 AM","/StageGateDocs/Additional Budget v5.xlsx","87"
"Newport ICS Network Segmentation","2/4/2017 12:45:14 AM","/StageGateDocs/PCR03-Addl budget-Ext. End Date v3.docx","87"
